"station","year","month","precipitation","month_id"
"PARKE","1923","JUL",674,7
"PARKE","1923","AUG",652,8
"PARKE","1923","SEP",0,9
"PARKE","1923","OCT",0,10
"PARKE","1923","NOV",580,11
"PARKE","1923","DEC",400,12
"ROAD","1923","FEB",50,2
"ROAD","1923","MAR",52,3
"ROAD","1923","APR",41,4
"ROAD","1923","MAY",0,5
"ROAD","1923","JUN",0,6
"ROAD","1923","JUL",568,7
"ROAD","1923","AUG",588,8
"ROAD","1923","SEP",66,9
"ROAD","1923","OCT",0,10
"ROAD","1923","NOV",385,11
"ROAD","1923","DEC",173,12
"RODEN","1923","JAN",0,1
"RODEN","1923","FEB",63,2
"RODEN","1923","MAR",54,3
"RODEN","1923","APR",44,4
"RODEN","1923","MAY",0,5
"RODEN","1923","JUN",0,6
"RODEN","1923","JUL",642,7
"RODEN","1923","AUG",548,8
"RODEN","1923","SEP",61,9
"RODEN","1923","OCT",0,10
"RODEN","1923","NOV",340,11
"RODEN","1923","DEC",92,12
"SW","1923","JAN",0,1
"SW","1923","FEB",30,2
"SW","1923","MAR",48,3
"SW","1923","APR",27,4
"SW","1923","MAY",0,5
"SW","1923","JUN",0,6
"SW","1923","JUL",626,7
"SW","1923","AUG",434,8
"SW","1923","SEP",89,9
"SW","1923","OCT",0,10
"SW","1923","NOV",197,11
"SW","1923","DEC",118,12
"WHITE","1923","JAN",0,1
"WHITE","1923","FEB",54,2
"WHITE","1923","MAR",116,3
"WHITE","1923","APR",40,4
"WHITE","1923","MAY",0,5
"WHITE","1923","JUN",0,6
"WHITE","1923","JUL",724,7
"WHITE","1923","AUG",635,8
"WHITE","1923","SEP",75,9
"WHITE","1923","OCT",0,10
"WHITE","1923","NOV",439,11
"WHITE","1923","DEC",232,12
"BOX","1924","JAN",0,1
"BOX","1924","FEB",0,2
"BOX","1924","MAR",270,3
"BOX","1924","APR",72,4
"BOX","1924","MAY",0,5
"BOX","1924","JUN",12,6
"BOX","1924","JUL",320,7
"BOX","1924","AUG",133,8
"BOX","1924","SEP",48,9
"BOX","1924","OCT",0,10
"BOX","1924","NOV",50,11
"BOX","1924","DEC",31,12
"DESST","1924","JAN",0,1
"DESST","1924","FEB",0,2
"DESST","1924","MAR",237,3
"DESST","1924","APR",80,4
"DESST","1924","MAY",0,5
"DESST","1924","JUN",9,6
"DESST","1924","JUL",185,7
"DESST","1924","AUG",98,8
"DESST","1924","SEP",0,9
"DESST","1924","OCT",0,10
"DESST","1924","NOV",0,11
"DESST","1924","DEC",148,12
"ERIOP","1924","JAN",0,1
"ERIOP","1924","FEB",0,2
"ERIOP","1924","MAR",264,3
"ERIOP","1924","APR",38,4
"ERIOP","1924","MAY",0,5
"ERIOP","1924","JUN",18,6
"ERIOP","1924","JUL",464,7
"ERIOP","1924","AUG",82,8
"ERIOP","1924","SEP",47,9
"ERIOP","1924","OCT",40,10
"ERIOP","1924","NOV",22,11
"ERIOP","1924","DEC",158,12
"FORES","1924","JAN",12,1
"FORES","1924","FEB",0,2
"FORES","1924","MAR",316,3
"FORES","1924","APR",97,4
"FORES","1924","MAY",0,5
"FORES","1924","JUN",20,6
"FORES","1924","JUL",149,7
"FORES","1924","AUG",201,8
"FORES","1924","SEP",0,9
"FORES","1924","OCT",0,10
"FORES","1924","NOV",27,11
"FORES","1924","DEC",147,12
"HUERF","1924","JAN",0,1
"HUERF","1924","FEB",0,2
"HUERF","1924","MAR",297,3
"HUERF","1924","APR",52,4
"HUERF","1924","MAY",0,5
"HUERF","1924","JUN",11,6
"HUERF","1924","JUL",442,7
"HUERF","1924","AUG",134,8
"HUERF","1924","SEP",0,9
"HUERF","1924","OCT",0,10
"HUERF","1924","NOV",30,11
"HUERF","1924","DEC",132,12
"MUHLE","1924","JAN",0,1
"MUHLE","1924","FEB",0,2
"MUHLE","1924","MAR",286,3
"MUHLE","1924","APR",64,4
"MUHLE","1924","MAY",0,5
"MUHLE","1924","JUN",10,6
"MUHLE","1924","JUL",187,7
"MUHLE","1924","AUG",143,8
"MUHLE","1924","SEP",0,9
"MUHLE","1924","OCT",0,10
"MUHLE","1924","NOV",0,11
"MUHLE","1924","DEC",168,12
"NE","1924","JAN",0,1
"NE","1924","FEB",0,2
"NE","1924","MAR",259,3
"NE","1924","APR",35,4
"NE","1924","MAY",0,5
"NE","1924","JUN",25,6
"NE","1924","JUL",209,7
"NE","1924","AUG",254,8
"NE","1924","SEP",0,9
"NE","1924","OCT",0,10
"NE","1924","NOV",28,11
"NE","1924","DEC",137,12
"NW","1924","JAN",0,1
"NW","1924","FEB",0,2
"NW","1924","MAR",227,3
"NW","1924","APR",61,4
"NW","1924","MAY",0,5
"NW","1924","JUN",8,6
"NW","1924","JUL",125,7
"NW","1924","AUG",41,8
"NW","1924","SEP",0,9
"NW","1924","OCT",0,10
"NW","1924","NOV",0,11
"NW","1924","DEC",104,12
"PARKE","1924","JAN",30,1
"PARKE","1924","FEB",0,2
"PARKE","1924","MAR",318,3
"PARKE","1924","APR",45,4
"PARKE","1924","MAY",0,5
"PARKE","1924","JUN",14,6
"PARKE","1924","JUL",395,7
"PARKE","1924","AUG",273,8
"PARKE","1924","SEP",35,9
"PARKE","1924","OCT",0,10
"PARKE","1924","NOV",55,11
"PARKE","1924","DEC",142,12
"ROAD","1924","JAN",0,1
"ROAD","1924","FEB",0,2
"ROAD","1924","MAR",312,3
"ROAD","1924","APR",54,4
"ROAD","1924","MAY",0,5
"ROAD","1924","JUN",15,6
"ROAD","1924","JUL",214,7
"ROAD","1924","AUG",134,8
"ROAD","1924","SEP",77,9
"ROAD","1924","OCT",0,10
"ROAD","1924","NOV",38,11
"ROAD","1924","DEC",119,12
"RODEN","1924","JAN",0,1
"RODEN","1924","FEB",0,2
"RODEN","1924","MAR",285,3
"RODEN","1924","APR",43,4
"RODEN","1924","MAY",0,5
"RODEN","1924","JUN",14,6
"RODEN","1924","JUL",227,7
"RODEN","1924","AUG",122,8
"RODEN","1924","SEP",31,9
"RODEN","1924","OCT",0,10
"RODEN","1924","NOV",0,11
"RODEN","1924","DEC",153,12
"RUELA","1924","JAN",0,1
"RUELA","1924","FEB",0,2
"RUELA","1924","MAR",205,3
"RUELA","1924","APR",27,4
"RUELA","1924","MAY",0,5
"RUELA","1924","JUN",16,6
"RUELA","1924","JUL",355,7
"RUELA","1924","AUG",220,8
"RUELA","1924","SEP",0,9
"RUELA","1924","OCT",0,10
"RUELA","1924","NOV",40,11
"RUELA","1924","DEC",84,12
"SW","1924","JAN",15,1
"SW","1924","FEB",0,2
"SW","1924","MAR",285,3
"SW","1924","APR",38,4
"SW","1924","MAY",0,5
"SW","1924","JUN",18,6
"SW","1924","JUL",335,7
"SW","1924","AUG",109,8
"SW","1924","SEP",0,9
"SW","1924","OCT",0,10
"SW","1924","NOV",24,11
"SW","1924","DEC",110,12
"WHITE","1924","JAN",0,1
"WHITE","1924","FEB",0,2
"WHITE","1924","MAR",374,3
"WHITE","1924","APR",72,4
"WHITE","1924","MAY",0,5
"WHITE","1924","JUN",21,6
"WHITE","1924","JUL",191,7
"WHITE","1924","AUG",173,8
"WHITE","1924","SEP",0,9
"WHITE","1924","OCT",0,10
"WHITE","1924","NOV",25,11
"WHITE","1924","DEC",135,12
"BOX","1925","JAN",0,1
"BOX","1925","FEB",0,2
"BOX","1925","MAR",17,3
"BOX","1925","APR",35,4
"BOX","1925","MAY",0,5
"BOX","1925","JUN",87,6
"BOX","1925","JUL",209,7
"BOX","1925","AUG",393,8
"BOX","1925","SEP",94,9
"BOX","1925","OCT",123,10
"BOX","1925","NOV",189,11
"BOX","1925","DEC",50,12
"DESST","1925","JAN",0,1
"DESST","1925","FEB",0,2
"DESST","1925","MAR",20,3
"DESST","1925","APR",47,4
"DESST","1925","MAY",0,5
"DESST","1925","JUN",210,6
"DESST","1925","JUL",151,7
"DESST","1925","AUG",281,8
"DESST","1925","SEP",118,9
"DESST","1925","OCT",136,10
"DESST","1925","NOV",197,11
"DESST","1925","DEC",44,12
"ERIOP","1925","JAN",0,1
"ERIOP","1925","FEB",0,2
"ERIOP","1925","MAR",10,3
"ERIOP","1925","APR",27,4
"ERIOP","1925","MAY",0,5
"ERIOP","1925","JUN",99,6
"ERIOP","1925","JUL",187,7
"ERIOP","1925","AUG",339,8
"ERIOP","1925","SEP",108,9
"ERIOP","1925","OCT",136,10
"ERIOP","1925","NOV",175,11
"ERIOP","1925","DEC",48,12
"FORES","1925","JAN",0,1
"FORES","1925","FEB",0,2
"FORES","1925","MAR",48,3
"FORES","1925","APR",49,4
"FORES","1925","MAY",0,5
"FORES","1925","JUN",234,6
"FORES","1925","JUL",172,7
"FORES","1925","AUG",177,8
"FORES","1925","SEP",85,9
"FORES","1925","OCT",143,10
"FORES","1925","NOV",172,11
"FORES","1925","DEC",84,12
"HUERF","1925","JAN",0,1
"HUERF","1925","FEB",0,2
"HUERF","1925","MAR",10,3
"HUERF","1925","APR",34,4
"HUERF","1925","MAY",0,5
"HUERF","1925","JUN",105,6
"HUERF","1925","JUL",172,7
"HUERF","1925","AUG",424,8
"HUERF","1925","SEP",171,9
"HUERF","1925","OCT",148,10
"HUERF","1925","NOV",181,11
"HUERF","1925","DEC",55,12
"MUHLE","1925","JAN",0,1
"MUHLE","1925","FEB",0,2
"MUHLE","1925","MAR",11,3
"MUHLE","1925","APR",47,4
"MUHLE","1925","MAY",0,5
"MUHLE","1925","JUN",177,6
"MUHLE","1925","JUL",192,7
"MUHLE","1925","AUG",320,8
"MUHLE","1925","SEP",136,9
"MUHLE","1925","OCT",137,10
"MUHLE","1925","NOV",185,11
"MUHLE","1925","DEC",46,12
"NE","1925","JAN",0,1
"NE","1925","FEB",0,2
"NE","1925","MAR",6,3
"NE","1925","APR",55,4
"NE","1925","MAY",0,5
"NE","1925","JUN",187,6
"NE","1925","JUL",50,7
"NE","1925","AUG",232,8
"NE","1925","SEP",192,9
"NE","1925","OCT",54,10
"NE","1925","NOV",213,11
"NE","1925","DEC",50,12
"NW","1925","JAN",0,1
"NW","1925","FEB",0,2
"NW","1925","MAR",4,3
"NW","1925","APR",43,4
"NW","1925","MAY",0,5
"NW","1925","JUN",85,6
"NW","1925","JUL",193,7
"NW","1925","AUG",150,8
"NW","1925","SEP",160,9
"NW","1925","OCT",145,10
"NW","1925","NOV",179,11
"NW","1925","DEC",29,12
"PARKE","1925","JAN",15,1
"PARKE","1925","FEB",0,2
"PARKE","1925","MAR",0,3
"PARKE","1925","APR",40,4
"PARKE","1925","MAY",0,5
"PARKE","1925","JUN",136,6
"PARKE","1925","JUL",379,7
"PARKE","1925","AUG",323,8
"PARKE","1925","SEP",109,9
"PARKE","1925","OCT",179,10
"PARKE","1925","NOV",190,11
"PARKE","1925","DEC",105,12
"ROAD","1925","JAN",0,1
"ROAD","1925","FEB",0,2
"ROAD","1925","MAR",13,3
"ROAD","1925","APR",50,4
"ROAD","1925","MAY",0,5
"ROAD","1925","JUN",150,6
"ROAD","1925","JUL",214,7
"ROAD","1925","AUG",274,8
"ROAD","1925","SEP",214,9
"ROAD","1925","OCT",157,10
"ROAD","1925","NOV",152,11
"ROAD","1925","DEC",64,12
"RODEN","1925","JAN",0,1
"RODEN","1925","FEB",0,2
"RODEN","1925","MAR",10,3
"RODEN","1925","APR",31,4
"RODEN","1925","MAY",0,5
"RODEN","1925","JUN",127,6
"RODEN","1925","JUL",267,7
"RODEN","1925","AUG",323,8
"RODEN","1925","SEP",118,9
"RODEN","1925","OCT",145,10
"RODEN","1925","NOV",155,11
"RODEN","1925","DEC",54,12
"RUELA","1925","JAN",0,1
"RUELA","1925","FEB",0,2
"RUELA","1925","MAR",0,3
"RUELA","1925","APR",39,4
"RUELA","1925","MAY",0,5
"RUELA","1925","JUN",80,6
"RUELA","1925","JUL",237,7
"RUELA","1925","AUG",570,8
"RUELA","1925","SEP",145,9
"RUELA","1925","OCT",90,10
"RUELA","1925","NOV",235,11
"RUELA","1925","DEC",43,12
"SW","1925","JAN",0,1
"SW","1925","FEB",0,2
"SW","1925","MAR",8,3
"SW","1925","APR",28,4
"SW","1925","MAY",0,5
"SW","1925","JUN",106,6
"SW","1925","JUL",357,7
"SW","1925","AUG",465,8
"SW","1925","SEP",127,9
"SW","1925","OCT",131,10
"SW","1925","NOV",192,11
"SW","1925","DEC",38,12
"WHITE","1925","JAN",0,1
"WHITE","1925","FEB",0,2
"WHITE","1925","MAR",27,3
"WHITE","1925","APR",28,4
"WHITE","1925","MAY",0,5
"WHITE","1925","JUN",120,6
"WHITE","1925","JUL",138,7
"WHITE","1925","AUG",311,8
"WHITE","1925","SEP",63,9
"WHITE","1925","OCT",156,10
"WHITE","1925","NOV",135,11
"WHITE","1925","DEC",70,12
"BOX","1926","JAN",130,1
"BOX","1926","FEB",100,2
"BOX","1926","MAR",180,3
"BOX","1926","APR",127,4
"BOX","1926","MAY",0,5
"BOX","1926","JUN",8,6
"BOX","1926","JUL",259,7
"BOX","1926","AUG",34,8
"BOX","1926","SEP",369,9
"BOX","1926","OCT",57,10
"BOX","1926","NOV",0,11
"BOX","1926","DEC",262,12
"DESST","1926","JAN",107,1
"DESST","1926","FEB",79,2
"DESST","1926","MAR",196,3
"DESST","1926","APR",142,4
"DESST","1926","MAY",17,5
"DESST","1926","JUN",5,6
"DESST","1926","JUL",197,7
"DESST","1926","AUG",82,8
"DESST","1926","SEP",360,9
"DESST","1926","OCT",113,10
"DESST","1926","NOV",0,11
"DESST","1926","DEC",208,12
"ERIOP","1926","JAN",112,1
"ERIOP","1926","FEB",94,2
"ERIOP","1926","MAR",223,3
"ERIOP","1926","APR",106,4
"ERIOP","1926","MAY",17,5
"ERIOP","1926","JUN",5,6
"ERIOP","1926","JUL",244,7
"ERIOP","1926","AUG",45,8
"ERIOP","1926","SEP",374,9
"ERIOP","1926","OCT",154,10
"ERIOP","1926","NOV",0,11
"ERIOP","1926","DEC",188,12
"FORES","1926","JAN",164,1
"FORES","1926","FEB",97,2
"FORES","1926","MAR",203,3
"FORES","1926","APR",143,4
"FORES","1926","MAY",41,5
"FORES","1926","JUN",22,6
"FORES","1926","JUL",347,7
"FORES","1926","AUG",225,8
"FORES","1926","SEP",499,9
"FORES","1926","OCT",149,10
"FORES","1926","NOV",0,11
"FORES","1926","DEC",338,12
"HUERF","1926","JAN",144,1
"HUERF","1926","FEB",116,2
"HUERF","1926","MAR",262,3
"HUERF","1926","APR",151,4
"HUERF","1926","MAY",6,5
"HUERF","1926","JUN",6,6
"HUERF","1926","JUL",395,7
"HUERF","1926","AUG",126,8
"HUERF","1926","SEP",424,9
"HUERF","1926","OCT",170,10
"HUERF","1926","NOV",0,11
"HUERF","1926","DEC",270,12
"MUHLE","1926","JAN",126,1
"MUHLE","1926","FEB",101,2
"MUHLE","1926","MAR",210,3
"MUHLE","1926","APR",132,4
"MUHLE","1926","MAY",13,5
"MUHLE","1926","JUN",5,6
"MUHLE","1926","JUL",218,7
"MUHLE","1926","AUG",153,8
"MUHLE","1926","SEP",423,9
"MUHLE","1926","OCT",180,10
"MUHLE","1926","NOV",0,11
"MUHLE","1926","DEC",209,12
"NE","1926","JAN",153,1
"NE","1926","FEB",70,2
"NE","1926","MAR",188,3
"NE","1926","APR",126,4
"NE","1926","MAY",20,5
"NE","1926","JUN",3,6
"NE","1926","JUL",239,7
"NE","1926","AUG",109,8
"NE","1926","SEP",240,9
"NE","1926","OCT",38,10
"NE","1926","NOV",0,11
"NE","1926","DEC",241,12
"NW","1926","JAN",66,1
"NW","1926","FEB",56,2
"NW","1926","MAR",109,3
"NW","1926","APR",124,4
"NW","1926","MAY",40,5
"NW","1926","JUN",3,6
"NW","1926","JUL",190,7
"NW","1926","AUG",106,8
"NW","1926","SEP",355,9
"NW","1926","OCT",59,10
"NW","1926","NOV",0,11
"NW","1926","DEC",164,12
"PARKE","1926","JAN",184,1
"PARKE","1926","FEB",100,2
"PARKE","1926","MAR",203,3
"PARKE","1926","APR",168,4
"PARKE","1926","MAY",15,5
"PARKE","1926","JUN",70,6
"PARKE","1926","JUL",379,7
"PARKE","1926","AUG",137,8
"PARKE","1926","SEP",330,9
"PARKE","1926","OCT",60,10
"PARKE","1926","NOV",0,11
"PARKE","1926","DEC",406,12
"ROAD","1926","JAN",102,1
"ROAD","1926","FEB",97,2
"ROAD","1926","MAR",157,3
"ROAD","1926","APR",121,4
"ROAD","1926","MAY",24,5
"ROAD","1926","JUN",10,6
"ROAD","1926","JUL",244,7
"ROAD","1926","AUG",245,8
"ROAD","1926","SEP",439,9
"ROAD","1926","OCT",82,10
"ROAD","1926","NOV",0,11
"ROAD","1926","DEC",230,12
"RODEN","1926","JAN",96,1
"RODEN","1926","FEB",88,2
"RODEN","1926","MAR",144,3
"RODEN","1926","APR",98,4
"RODEN","1926","MAY",20,5
"RODEN","1926","JUN",3,6
"RODEN","1926","JUL",217,7
"RODEN","1926","AUG",161,8
"RODEN","1926","SEP",412,9
"RODEN","1926","OCT",100,10
"RODEN","1926","NOV",0,11
"RODEN","1926","DEC",214,12
"RUELA","1926","JAN",137,1
"RUELA","1926","FEB",118,2
"RUELA","1926","MAR",225,3
"RUELA","1926","APR",190,4
"RUELA","1926","MAY",0,5
"RUELA","1926","JUN",5,6
"RUELA","1926","JUL",272,7
"RUELA","1926","AUG",132,8
"RUELA","1926","SEP",412,9
"RUELA","1926","OCT",225,10
"RUELA","1926","NOV",0,11
"RUELA","1926","DEC",225,12
"SW","1926","JAN",116,1
"SW","1926","FEB",129,2
"SW","1926","MAR",162,3
"SW","1926","APR",136,4
"SW","1926","MAY",4,5
"SW","1926","JUN",8,6
"SW","1926","JUL",169,7
"SW","1926","AUG",138,8
"SW","1926","SEP",516,9
"SW","1926","OCT",87,10
"SW","1926","NOV",0,11
"SW","1926","DEC",200,12
"WHITE","1926","JAN",123,1
"WHITE","1926","FEB",85,2
"WHITE","1926","MAR",180,3
"WHITE","1926","APR",157,4
"WHITE","1926","MAY",18,5
"WHITE","1926","JUN",15,6
"WHITE","1926","JUL",240,7
"WHITE","1926","AUG",185,8
"WHITE","1926","SEP",435,9
"WHITE","1926","OCT",35,10
"WHITE","1926","NOV",0,11
"WHITE","1926","DEC",248,12
"BOX","1927","JAN",18,1
"BOX","1927","FEB",112,2
"BOX","1927","MAR",98,3
"BOX","1927","APR",37,4
"BOX","1927","MAY",0,5
"BOX","1927","JUN",16,6
"BOX","1927","JUL",124,7
"BOX","1927","AUG",498,8
"BOX","1927","SEP",214,9
"BOX","1927","OCT",13,10
"BOX","1927","NOV",29,11
"BOX","1927","DEC",226,12
"DESST","1927","JAN",18,1
"DESST","1927","FEB",104,2
"DESST","1927","MAR",113,3
"DESST","1927","APR",9,4
"DESST","1927","MAY",1,5
"DESST","1927","JUN",22,6
"DESST","1927","JUL",81,7
"DESST","1927","AUG",283,8
"DESST","1927","SEP",175,9
"DESST","1927","OCT",17,10
"DESST","1927","NOV",25,11
"DESST","1927","DEC",170,12
"ERIOP","1927","JAN",18,1
"ERIOP","1927","FEB",92,2
"ERIOP","1927","MAR",93,3
"ERIOP","1927","APR",64,4
"ERIOP","1927","MAY",0,5
"ERIOP","1927","JUN",14,6
"ERIOP","1927","JUL",133,7
"ERIOP","1927","AUG",495,8
"ERIOP","1927","SEP",254,9
"ERIOP","1927","OCT",12,10
"ERIOP","1927","NOV",22,11
"ERIOP","1927","DEC",200,12
"FORES","1927","JAN",22,1
"FORES","1927","FEB",155,2
"FORES","1927","MAR",148,3
"FORES","1927","APR",56,4
"FORES","1927","MAY",30,5
"FORES","1927","JUN",52,6
"FORES","1927","JUL",238,7
"FORES","1927","AUG",327,8
"FORES","1927","SEP",209,9
"FORES","1927","OCT",18,10
"FORES","1927","NOV",31,11
"FORES","1927","DEC",232,12
"HUERF","1927","JAN",18,1
"HUERF","1927","FEB",110,2
"HUERF","1927","MAR",121,3
"HUERF","1927","APR",83,4
"HUERF","1927","MAY",0,5
"HUERF","1927","JUN",27,6
"HUERF","1927","JUL",173,7
"HUERF","1927","AUG",444,8
"HUERF","1927","SEP",527,9
"HUERF","1927","OCT",12,10
"HUERF","1927","NOV",26,11
"HUERF","1927","DEC",229,12
"MUHLE","1927","JAN",20,1
"MUHLE","1927","FEB",109,2
"MUHLE","1927","MAR",100,3
"MUHLE","1927","APR",52,4
"MUHLE","1927","MAY",0,5
"MUHLE","1927","JUN",25,6
"MUHLE","1927","JUL",144,7
"MUHLE","1927","AUG",302,8
"MUHLE","1927","SEP",182,9
"MUHLE","1927","OCT",14,10
"MUHLE","1927","NOV",22,11
"MUHLE","1927","DEC",200,12
"NE","1927","JAN",18,1
"NE","1927","FEB",114,2
"NE","1927","MAR",108,3
"NE","1927","APR",47,4
"NE","1927","MAY",10,5
"NE","1927","JUN",0,6
"NE","1927","JUL",260,7
"NE","1927","AUG",446,8
"NE","1927","SEP",210,9
"NE","1927","OCT",12,10
"NE","1927","NOV",33,11
"NE","1927","DEC",241,12
"NW","1927","JAN",18,1
"NW","1927","FEB",88,2
"NW","1927","MAR",87,3
"NW","1927","APR",0,4
"NW","1927","MAY",11,5
"NW","1927","JUN",8,6
"NW","1927","JUL",132,7
"NW","1927","AUG",279,8
"NW","1927","SEP",172,9
"NW","1927","OCT",12,10
"NW","1927","NOV",22,11
"NW","1927","DEC",167,12
"PARKE","1927","JAN",0,1
"PARKE","1927","FEB",123,2
"PARKE","1927","MAR",139,3
"PARKE","1927","APR",89,4
"PARKE","1927","MAY",15,5
"PARKE","1927","JUN",30,6
"PARKE","1927","JUL",270,7
"PARKE","1927","AUG",380,8
"PARKE","1927","SEP",213,9
"PARKE","1927","OCT",18,10
"PARKE","1927","NOV",21,11
"PARKE","1927","DEC",272,12
"ROAD","1927","JAN",18,1
"ROAD","1927","FEB",108,2
"ROAD","1927","MAR",107,3
"ROAD","1927","APR",41,4
"ROAD","1927","MAY",0,5
"ROAD","1927","JUN",35,6
"ROAD","1927","JUL",185,7
"ROAD","1927","AUG",350,8
"ROAD","1927","SEP",243,9
"ROAD","1927","OCT",15,10
"ROAD","1927","NOV",24,11
"ROAD","1927","DEC",223,12
"RODEN","1927","JAN",20,1
"RODEN","1927","FEB",113,2
"RODEN","1927","MAR",90,3
"RODEN","1927","APR",27,4
"RODEN","1927","MAY",0,5
"RODEN","1927","JUN",35,6
"RODEN","1927","JUL",150,7
"RODEN","1927","AUG",270,8
"RODEN","1927","SEP",184,9
"RODEN","1927","OCT",13,10
"RODEN","1927","NOV",29,11
"RODEN","1927","DEC",232,12
"RUELA","1927","JAN",0,1
"RUELA","1927","FEB",90,2
"RUELA","1927","MAR",111,3
"RUELA","1927","APR",60,4
"RUELA","1927","MAY",0,5
"RUELA","1927","JUN",0,6
"RUELA","1927","JUL",155,7
"RUELA","1927","AUG",575,8
"RUELA","1927","SEP",520,9
"RUELA","1927","OCT",10,10
"RUELA","1927","NOV",17,11
"RUELA","1927","DEC",240,12
"SW","1927","JAN",22,1
"SW","1927","FEB",143,2
"SW","1927","MAR",97,3
"SW","1927","APR",32,4
"SW","1927","MAY",40,5
"SW","1927","JUN",0,6
"SW","1927","JUL",301,7
"SW","1927","AUG",240,8
"SW","1927","SEP",267,9
"SW","1927","OCT",18,10
"SW","1927","NOV",24,11
"SW","1927","DEC",205,12
"WHITE","1927","JAN",22,1
"WHITE","1927","FEB",141,2
"WHITE","1927","MAR",130,3
"WHITE","1927","APR",63,4
"WHITE","1927","MAY",0,5
"WHITE","1927","JUN",44,6
"WHITE","1927","JUL",240,7
"WHITE","1927","AUG",550,8
"WHITE","1927","SEP",349,9
"WHITE","1927","OCT",19,10
"WHITE","1927","NOV",42,11
"WHITE","1927","DEC",258,12
"BOX","1928","JAN",0,1
"BOX","1928","FEB",186,2
"BOX","1928","MAR",0,3
"BOX","1928","APR",8,4
"BOX","1928","MAY",0,5
"BOX","1928","JUN",0,6
"BOX","1928","JUL",192,7
"BOX","1928","AUG",324,8
"BOX","1928","SEP",53,9
"BOX","1928","OCT",89,10
"BOX","1928","NOV",42,11
"BOX","1928","DEC",62,12
"DESST","1928","JAN",0,1
"DESST","1928","FEB",155,2
"DESST","1928","MAR",0,3
"DESST","1928","APR",6,4
"DESST","1928","MAY",0,5
"DESST","1928","JUN",0,6
"DESST","1928","JUL",165,7
"DESST","1928","AUG",157,8
"DESST","1928","SEP",116,9
"DESST","1928","OCT",55,10
"DESST","1928","NOV",47,11
"DESST","1928","DEC",69,12
